TIMESTAMP,ATTACHMENTS,AUTHOR,AUTHOR_ID,CHANNEL,CONTENT,QUESTION_TYPE,ISSUE_TYPE,MESSAGE_TYPE
2021-09-03 23:58:00,,adlus,741277461513502700,Ocean Protocol - GET STARTED - 👋︱welcome [727898674637832274],joined the server.,,,
2021-09-03 23:58:00,,MEE6#4876,159985870458322940,Ocean Protocol - GET STARTED - 👋︱welcome [727898674637832274],hey @adlus  welcome to **ocean protocol**🤟🏼!   here's the best way to start building with ocean protocol  🌊🐙  -  (1) **ocean protocol v3 is out **🐣 - https://oceanprotocol.com/  (2) **datatokens form the heart of ocean v3.** 💻  - <https://oceanprotocol.com/technology/data-tokens>   (3) **developer documentation including quickstarts**📖  - <https://docs.oceanprotocol.com>  4) **learn in the academy and contribute building tutorials **🏛  - <https://oceanacademy.io>  🚨if you need more information   just ask in the #💭︱general-chat  😀,,,
2021-09-04 0:31:00,,in_lakech,388186187489345540,Ocean Protocol - GET STARTED - 👋︱welcome [727898674637832274],joined the server.,,,
2021-09-04 0:31:00,,MEE6#4876,159985870458322940,Ocean Protocol - GET STARTED - 👋︱welcome [727898674637832274],hey @fiction  welcome to **ocean protocol**🤟🏼!   here's the best way to start building with ocean protocol  🌊🐙  -  (1) **ocean protocol v3 is out **🐣 - https://oceanprotocol.com/  (2) **datatokens form the heart of ocean v3.** 💻  - <https://oceanprotocol.com/technology/data-tokens>   (3) **developer documentation including quickstarts**📖  - <https://docs.oceanprotocol.com>  4) **learn in the academy and contribute building tutorials **🏛  - <https://oceanacademy.io>  🚨if you need more information   just ask in the #💭︱general-chat  😀,,,
2021-09-04 13:14:00,,dungeon_master4227,5.26E+17,Ocean Protocol - GET STARTED - 👋︱welcome [727898674637832274],joined the server.,,,
2021-09-04 13:14:00,,MEE6#4876,159985870458322940,Ocean Protocol - GET STARTED - 👋︱welcome [727898674637832274],hey @dungeon  welcome to **ocean protocol**🤟🏼!   here's the best way to start building with ocean protocol  🌊🐙  -  (1) **ocean protocol v3 is out **🐣 - https://oceanprotocol.com/  (2) **datatokens form the heart of ocean v3.** 💻  - <https://oceanprotocol.com/technology/data-tokens>   (3) **developer documentation including quickstarts**📖  - <https://docs.oceanprotocol.com>  4) **learn in the academy and contribute building tutorials **🏛  - <https://oceanacademy.io>  🚨if you need more information   just ask in the #💭︱general-chat  😀,,,
2021-09-04 14:00:00,,kouei_1984,828622765190938600,Ocean Protocol - GET STARTED - 👋︱welcome [727898674637832274],joined the server.,,,
2021-09-04 14:00:00,,MEE6#4876,159985870458322940,Ocean Protocol - GET STARTED - 👋︱welcome [727898674637832274],hey @kouei  welcome to **ocean protocol**🤟🏼!   here's the best way to start building with ocean protocol  🌊🐙  -  (1) **ocean protocol v3 is out **🐣 - https://oceanprotocol.com/  (2) **datatokens form the heart of ocean v3.** 💻  - <https://oceanprotocol.com/technology/data-tokens>   (3) **developer documentation including quickstarts**📖  - <https://docs.oceanprotocol.com>  4) **learn in the academy and contribute building tutorials **🏛  - <https://oceanacademy.io>  🚨if you need more information   just ask in the #💭︱general-chat  😀,,,
2021-09-04 16:29:00,,MEE6#4876,159985870458322940,Ocean Protocol - GET STARTED - 👋︱welcome [727898674637832274],hey @noonan  welcome to **ocean protocol**🤟🏼!   here's the best way to start building with ocean protocol  🌊🐙  -  (1) **ocean protocol v3 is out **🐣 - https://oceanprotocol.com/  (2) **datatokens form the heart of ocean v3.** 💻  - <https://oceanprotocol.com/technology/data-tokens>   (3) **developer documentation including quickstarts**📖  - <https://docs.oceanprotocol.com>  4) **learn in the academy and contribute building tutorials **🏛  - <https://oceanacademy.io>  🚨if you need more information   just ask in the #💭︱general-chat  😀,,,
2021-09-04 16:33:00,,bnoonan,459436840760639500,Ocean Protocol - GET STARTED - 👋︱welcome [727898674637832274],joined the server.,,,
